Frequency,Monetary,Recency,Tenure,Average_Order_Value,Churn
1,77183.6,235,235,77183.6,1
5,2790.86,39,277,558.172,0
3,1167.24,158,268,389.08,0
1,294.4,220,220,294.4,1
4,641.51,172,206,160.3775,0
1,89.0,114,114,89.0,1
1,1079.4,142,142,1079.4,1
1,459.4,124,124,459.4,1
2,2429.08,155,235,1214.54,0
1,404.86,60,60,404.86,0
3,3495.73,99,241,1165.2433333333333,0
2,1378.28,22,110,689.14,0
1,174.9,197,197,174.9,1
4,1582.35,30,205,395.5875,0
2,552.0,19,152,276.0,1
1,578.92,22,22,578.92,0
1,320.69,201,201,320.69,1
3,2682.66,184,270,894.2199999999999,0
2,842.9200000000001,122,206,421.46000000000004,0
1,324.6,221,221,324.6,1
1,190.3,8,8,190.3,0
2,1548.12,225,264,774.06,1
1,4008.62,39,39,4008.62,1
1,414.84,80,80,414.84,0
1,562.5500000000001,95,95,562.5500000000001,0
1,1028.74,29,29,1028.74,0
5,1628.56,94,262,325.712,1
1,212.69,31,31,212.69,0
2,401.9,247,276,200.95,1
4,1668.3400000000001,58,236,417.08500000000004,0
3,1061.1000000000001,155,242,353.70000000000005,0
1,351.08,127,127,351.08,0
8,1674.57,22,281,209.32125,0
1,1109.81,45,45,1109.81,0
4,1033.65,29,171,258.4125,1
1,69.3,213,213,69.3,1
1,195.6,233,233,195.6,1
1,1390.39,58,58,1390.39,1
1,1621.25,93,93,1621.25,0
4,1242.3600000000001,44,174,310.59000000000003,0
4,1939.05,8,170,484.7625,0
1,6207.08,92,92,6207.08,0
2,533.33,218,218,266.665,1
2,836.74,47,79,418.37,0
2,509.90000000000003,146,247,254.95000000000002,0
3,442.41,127,220,147.47,1
14,101737.88,9,247,7266.9914285714285,0
7,2483.52,16,267,354.7885714285714,0
1,668.58,22,22,668.58,1
3,488.56,24,229,162.85333333333332,0
3,683.5600000000001,5,234,227.85333333333335,1
7,1440.67,10,263,205.81,0
2,1760.96,72,72,880.48,1
1,510.73,104,104,510.73,1
1,249.5,281,281,249.5,0
7,6076.92,30,193,868.1314285714286,0
3,2482.88,82,275,827.6266666666667,0
11,4732.07,29,283,430.1881818181818,0
2,3316.6600000000003,82,82,1658.3300000000002,0
3,6395.23,1,283,2131.7433333333333,0
1,286.25,170,170,286.25,0
1,3978.9900000000002,177,177,3978.9900000000002,0
1,429.01000000000005,9,9,429.01000000000005,1
11,2505.41,8,241,227.76454545454544,0
1,770.0699999999999,50,50,770.0699999999999,0
1,155.55,276,276,155.55,1
2,2347.27,31,81,1173.635,0
1,431.49,153,153,431.49,1
3,2379.58,1,97,793.1933333333333,0
2,197.88,66,83,98.94,1
2,5307.82,128,234,2653.91,0
1,707.09,44,44,707.09,1
4,2077.36,37,206,519.34,0
